Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"MORNING PLAYERS","MORNING GROUP",534613997,"Jouets","26 RUE MARIE MAGNE 31300 TOULOUSE","Timothee Dumain",physique,"Président de SAS",1,2011-09-01,
"PILE ET FACE","",400530267,"Jouets","14 RUE SAINT GERMIER 31000 TOULOUSE","Igor Chappey",physique,"",1,1994-01-01,
"QINGLANG","QINGLANG",914743836,"Jouets","BUREAU 3 5 IMPASSE DE LA COLOMBETTE 31000 TOULOUSE","Liang Meng",physique,"Président de SAS",1,2022-06-16,
"RALYES","RALYES",444413207,"Jouets","162 AVENUE DE MURET 31300 TOULOUSE","",,"",2,2002-12-20,
"RELAIS BOUTIQUE JEUX-DESCARTES","JEUX DU MONDE",340041821,"Jouets","77 RUE PARGAMINIERES 31000 TOULOUSE","Didier Fontana",physique,"Président de SAS",1,1987-01-26,
"RETRO GAME LAND","RETRO GAME LAND",942240094,"Jouets","51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Hector Kern",physique,"Président de SAS",1,2025-02-01,
"RETRO GAME LAND","",524311206,"Jouets","18 RUE PAUL VIDAL 31000 TOULOUSE","Jahid Khan",physique,"",1,2010-08-25,
"RTFC (FANTASY SPHERE)","RTFC",901518647,"Jouets","93 RUE PIERRE-PAUL RIQUET 31000 TOULOUSE","Joel Mandon",physique,"Gérant",2,2021-07-01,
"SARL LE COLLECTIONNEUR","SARL LE COLLECTIONNEUR",342742350,"Jouets","29 AVENUE DE L'URSS 31400 TOULOUSE","",,"",1,1987-11-09,
"SEE GOTTERO","SEE GOTTERO",388482077,"Jouets","10 RUE D'AUSTERLITZ 31000 TOULOUSE","Claude Gottero",physique,"Gérant",1,1992-07-01,
"STFT COMPANY","STFT COMPANY",521011890,"Jouets","18 RUE DE LOMENIE DE BRIENNE 31000 TOULOUSE","",,"",3,2010-04-01,
"UNIVERS PARALLELE","NYARLATHOTEP",422433250,"Jouets","36 RUE SAINTE URSULE 31000 TOULOUSE","Jacques Le bail",physique,"Gérant",1,1999-03-26,
"2SANI GROUP","2SANI GROUP",922464185,"Maroquinerie","LOCAL C09 9 CHEMIN DU CHAPITRE 31100 TOULOUSE","Anissa Mekrabech",physique,"Président de SAS",2,2022-12-13,
"9 NEUF","9 NEUF GRAMONT",800056723,"Maroquinerie","LOCAL N B 28 -  C.C. ESPACE GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Jialin Qu",physique,"Gérant",1,2014-02-01,
"BAZOC","BAZOC",801644378,"Maroquinerie","8 RUE ALESSANDRO VOLTA 31000 TOULOUSE","Rodolphe Lafarge",physique,"Président de SAS",2,2014-04-03,
"BLEU CERISE","GEORIS",491266581,"Maroquinerie","9 RUE SAINT ROME 31000 TOULOUSE","Philip Nougaret",physique,"Gérant",3,2006-07-01,
"BLEU CERISE","ZODIAQUE",844993444,"Maroquinerie","ESPACE GRAMONT CCIAL AUCHAN CHEMIN DE GABARDIE 31200 TOULOUSE","VENUS FINANCES",morale,"",2,2018-12-28,508641446
"BOOTSHOP","BOOTSHOP",799374202,"Maroquinerie","77 ALLEE DE BRIENNE 31000 TOULOUSE","Armand Fhal",physique,"Liquidateur",1,2014-01-01,
"CASA AZUL","CASA AZUL",990627598,"Maroquinerie","19 RUE PEYROLIERES 31000 TOULOUSE","Emilie Devin",physique,"Président de SAS",1,2025-08-26,
"COCOTTE","VIOLETTE ET GASTON",799338017,"Maroquinerie","6 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Vanessa Crouzil (villarroel)",physique,"Gérant",1,2014-01-01,
"COMBO","COMBO",514886829,"Maroquinerie","13 RUE CUJAS 31000 TOULOUSE","Marie Mignonac (degeilh)",physique,"Gérant",1,2009-09-17,
"EMILIE","",791231293,"Maroquinerie","5 RUE DOC PAUL PUJOS 31000 TOULOUSE","Emilie Decombaz",physique,"",1,2013-01-02,
"JEANNETTE BLAHOUA APIN","",802871277,"Maroquinerie","AP4 BT5 8 IMPASSE DES BOSQUETS 31100 TOULOUSE","Jeannette Blahoua apin",physique,"",1,2014-06-24,
"LAFARGE","SARL MALA",402468284,"Maroquinerie","CENTRE COMMERCIAL DE GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Rodolphe Lafarge",physique,"Gérant",1,1995-10-09,
"LANCASTER","SD PYRENEES",484126636,"Maroquinerie","21 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Estelle Wang",physique,"Gérant",4,2005-08-16,
"LE PETIT VOYAGEUR","LPVCA",903464295,"Maroquinerie","7 B RUE SALGUES 31500 TOULOUSE","Charlotte Descoins",physique,"Président de SAS",1,2021-06-11,
"LEWIS","LEWIS",947856100,"Maroquinerie","21 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Thierry Chan",physique,"Président de SAS",1,2023-01-02,
"LINEA MODA","V.A MODA",884782228,"Maroquinerie","31 RUE SAINT ROME 31000 TOULOUSE","Veronique Notte (choplin)",physique,"Gérant",1,2020-06-15,
"NEGREVERGNE","SOC NEGREVERGNE",540800240,"Maroquinerie","A GAUCHE PORTE COCHERE 27 RUE DE METZ 31000 TOULOUSE","Geraldine Casanovas (mielvaque)",physique,"Gérant",2,1954-01-01,
"PAUL MARIUS TOULOUSE","SAS PM1",814932943,"Maroquinerie","29 RUE DES CHANGES 31000 TOULOUSE","Tiffany Loubeyre (desautes)",physique,"Président de SAS",1,2015-12-01,
"SUNNYA PERLA","SUNNYA PERLA",499645281,"Maroquinerie","BAT B2 - APPT 02 PLACE DE MILAN 31100 TOULOUSE","",,"",2,2007-10-01,
"WOW","WOW",523208817,"Maroquinerie","14 RUE MAURICE FONVIEILLE 31000 TOULOUSE","",,"",1,2010-06-21,
"9 NEUF ALEX S.A.R.L.","9 NEUF ALEX S.A.R.L.",821756467,"Mode/Vêtements","308 AVENUE DES ETATS UNIS 31200 TOULOUSE","Alexandre Huang",physique,"Gérant",1,2016-06-29,
"ABAC UP","ABAC UP",501847016,"Mode/Vêtements","23 RUE AUGUSTE GUENOT 31100 TOULOUSE","",,"",1,2008-01-24,
"ABC TEX","ABC TEX",810142117,"Mode/Vêtements","145 AVENUE DE CASTRES 31500 TOULOUSE","Franck Zerubia",physique,"Gérant",1,2015-03-02,
"ABDELGHANI EL HOUTI","",879882835,"Mode/Vêtements","1 ER ETAGE 44 RUE VESTREPAIN 31100 TOULOUSE","Abdelghani El houti",physique,"",2,2019-12-18,
"ACTURUS FRANCE SAS","ACTURUS FRANCE SAS",530868918,"Mode/Vêtements","8 RUE DE LA POMME 31000 TOULOUSE","Alvaro Cebrian mosquera",physique,"Directeur Général",4,2011-03-01,
"ACYMA EL KALAI","",881040505,"Mode/Vêtements","40 RUE CUVIER 31100 TOULOUSE","Acyma El kalai",physique,"",1,2020-02-01,
"AD VINTAGE","AD VINTAGE",999934540,"Mode/Vêtements","6 PLACE DU PRESIDENT THOMAS WOODROW WILSON 31000 TOULOUSE","Adrien Ioualalen",physique,"Président de SAS",1,2026-01-24,
"ADIGONE","ADIGONE",810947549,"Mode/Vêtements","LES JARDINS DE CROIX BENITE BAT A 14 14 RUE ANDRE CLAROUS 31200 TOULOUSE","Gilbert Ben soussan",physique,"Gérant",3,2015-04-20,
"ADIU","ADIU",490215035,"Mode/Vêtements","12 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,2006-05-19,
"AIME BOUTIQUE","AIME BOUTIQUE",801416033,"Mode/Vêtements","144 AVENUE DE MURET 31300 TOULOUSE","Jean-marc Benamour",physique,"Liquidateur",1,2014-04-01,
"AIME PLUS","AIME PLUS",390065399,"Mode/Vêtements","CTR COMM GEANT CASINO PLACE EDOUARD BOUILLIERE 31100 TOULOUSE","Marianne Benamour",physique,"Liquidateur",2,1993-01-07,
"AIRQUINZE - R15","OXYGEAR",842239378,"Mode/Vêtements","APPARTEMENT B06 26 CHEMIN DE BORDEROUGE 31200 TOULOUSE","Rodolphe Berhault-mameri (berhault)",physique,"Gérant",1,2018-09-06,
"ALICE ET LES GARCONS","KIDS STORE",819294117,"Mode/Vêtements","15 RUE BOUQUIERES 31000 TOULOUSE","Benoit Mabille de poncheville",physique,"Directeur Général",1,2016-03-22,
"ALISON GUERLEDAN","",891347916,"Mode/Vêtements","306 B ROUTE DE LAUNAGUET 31200 TOULOUSE","Alison Guerledan",physique,"",1,2020-10-29,
"ALPHABET","ALPHABET",392739900,"Mode/Vêtements","32 RUE D'ASTORG 39 RUE DE METZ 31000 TOULOUSE","Patricia Delchet",physique,"Gérant",2,1993-10-02,
"ALPROD","",389712415,"Mode/Vêtements","5 RUE DE GAILLAC 31500 TOULOUSE","Bruno Herivaux",physique,"",1,1993-01-12,
"ALTER MUNDI","SAS ROUSSEL ET PIERSON",523809416,"Mode/Vêtements","34 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","",,"",1,2010-08-16,
"AMA LUNA","AMA LUNA",812259299,"Mode/Vêtements","66 RUE DE LA POMME 31000 TOULOUSE","Judith Soustiel",physique,"Gérant, Personne ayant le pouvoir d'engager à titre habituel la société",1,2015-06-01,
"AMERICAN APPAREL","AMERICAN APPAREL DEUTSCHLAND GMBH",479483901,"Mode/Vêtements","19 PLACE DE LA BOURSE 31000 TOULOUSE","Sarah Haith",physique,"Autre",2,2004-10-04,
"AMORE CONCEPT STORE","SASU MAISON POUPON",853044691,"Mode/Vêtements","5 RUE DU LT COL PELISSIER 31000 TOULOUSE","Fatima Maherouz",physique,"Président de SAS",2,2019-08-19,
"ANAHITA","ANAHITA",812901106,"Mode/Vêtements","5 PLACE SAINT ETIENNE 31000 TOULOUSE","Ariane Node-langlois",physique,"Gérant",1,2015-08-01,
"ANAISSHOP","",941239659,"Mode/Vêtements","APPT 914 9 CHEMIN DE LAPUJADE 31200 TOULOUSE","Souad Saadi",physique,"",1,2025-02-14,
"ANDRE LELTE","",309289775,"Mode/Vêtements","20 RUE DE BAYARD 31000 TOULOUSE","Andre Lelte",physique,"",1,1977-01-01,
"ANGEL'S","ANGEL S",488816240,"Mode/Vêtements","12 RUE JEAN PALAPRAT 31000 TOULOUSE","",,"",1,2006-03-28,
"ANNE FONTAINE","LA CHEMISERIE PARISIENNE",394771075,"Mode/Vêtements","12 RUE CROIX BARAGNON 31000 TOULOUSE","Ari-john Zlotkin",physique,"Président de SAS",5,1994-04-21,
"APOS 33","APOS 33",422970020,"Mode/Vêtements","ET 36 34 RUE BOULBONNE 31000 TOULOUSE","Sandra Cremazy (perin)",physique,"Gérant",2,2006-02-20,
"APOSTROPHE RJC","R J C",331258384,"Mode/Vêtements","23 RUE CROIX BARAGNON 31000 TOULOUSE","Raymonde Coudert (tordjmann)",physique,"Gérant",1,1984-10-12,
"ARNAUD MANCINA (ARNAUD MANCINA)","",834130718,"Mode/Vêtements","32 RUE LANCEFOC 31000 TOULOUSE","Arnaud Mancina",physique,"",1,2018-01-09,
"ARSENE ET LES PIPELETTES","M2V 31",809552359,"Mode/Vêtements","25 RUE DE METZ 31000 TOULOUSE","Helene Rieunier (proudhom)",physique,"Gérant",1,2015-02-05,
"ASKA","DUALCORE",489620443,"Mode/Vêtements","8 RUE DE LA BOURSE 31000 TOULOUSE","",,"",1,2006-04-10,
"ASSOLTANA","",929430692,"Mode/Vêtements","1 RUE EDMOND DE GONCOURT 31500 TOULOUSE","Hafidha Choual (kias)",physique,"",1,2024-06-01,
"ASTRA COLLECTION","",982090763,"Mode/Vêtements","7 PLACE DU FER A CHEVAL 31300 TOULOUSE","Adem Dris",physique,"",1,2023-11-30,
"ASYMETRIE","EURL POIVRE ET CANNELLE",518391032,"Mode/Vêtements","253 AVENUE DE LARDENNE 31100 TOULOUSE","Thierry Brunet",physique,"Gérant",3,2009-11-20,
"AT PLUMETIS","AT PLUMETIS",902323476,"Mode/Vêtements","9 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Audrey Derouard",physique,"Directeur Général",1,2021-09-01,
"AU TEMPLE DE LA MARIEE","WASSILA KRALFA",837534122,"Mode/Vêtements","65 ROUTE DE BLAGNAC 31200 TOULOUSE","Wassila Bensaad (kralfa)",physique,"Président de SAS",2,2018-02-19,
"AUCAM CITY","AUCAM CITY",401167226,"Mode/Vêtements","442 AVENUE DE FRONTON 31200 TOULOUSE","Marie Leroy",physique,"Gérant",1,1995-05-30,
"AUZANE","AUZANE",892605163,"Mode/Vêtements","5 RUE SIRVEN 31100 TOULOUSE","",,"",1,2020-12-21,
"AVEBER","AVEBER",513988766,"Mode/Vêtements","2 RUE DU FOURBASTARD 31000 TOULOUSE","",,"",1,2009-07-28,
"AZED","AZED",751884123,"Mode/Vêtements","54 RUE DE METZ 31000 TOULOUSE","Patricia Delchet (roos)",physique,"Gérant",1,2012-04-02,
"B A D J","B A D J",324814359,"Mode/Vêtements","3 RUE PAUL VIDAL 31000 TOULOUSE","",,"",3,1982-07-01,
"BACKSTAGE STORE","BACKSTAGE VINTAGE STORE",513853143,"Mode/Vêtements","28 RUE DES MARCHANDS 31000 TOULOUSE","Esther Carayon-dandleuf dit clariond (dandleuf dit clariond)",physique,"Gérant",2,2009-08-24,
"BAGWOOD","BAGWOOD",408176311,"Mode/Vêtements","75 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Therese Wood (bagneris)",physique,"Gérant",1,1996-07-01,
"BAHIA","BAHIA",843336991,"Mode/Vêtements","8 RUE SAINT JEROME 31000 TOULOUSE","Mohamed Qachar",physique,"Gérant",1,2018-10-24,
"BANANA-POMME","BANANA-POMME",911842607,"Mode/Vêtements","28 RUE DE LA POMME 31000 TOULOUSE","Eric Bitoun",physique,"Directeur Général",1,2022-04-01,
"BAOBAB","B.R.1",811166578,"Mode/Vêtements","15 RUE CROIX BARAGNON 31000 TOULOUSE","Christophe Chopin",physique,"Gérant",1,2015-04-23,
"BARCELONETA","BARCELONETA CREATION",537686248,"Mode/Vêtements","7 RUE DU COQ D'INDE 31000 TOULOUSE","",,"",1,2011-11-10,
"BEC-FIN","BEC-FIN",489191510,"Mode/Vêtements","28 RUE DES MARCHANDS 31000 TOULOUSE","Cedric Bonnamy",physique,"Gérant",2,2006-03-16,
"BEL AIR","PINEAPPLE",494173206,"Mode/Vêtements","3 RUE BARONIE 31000 TOULOUSE","",,"",1,2007-02-06,
"BELLA MODE","BELLA MODE",813115987,"Mode/Vêtements","39 RUE DES CHANGES 31000 TOULOUSE","Yinqiu Jiang (ren)",physique,"Gérant",1,2015-08-19,
"BELLE-DE-JOUR","EURL BELLE-DE-JOUR",493219265,"Mode/Vêtements","8 RUE MALETACHE 31000 TOULOUSE","Laurence Molinier",physique,"Gérant",1,2007-01-12,
"BENOU","BENOU",912641222,"Mode/Vêtements","146 AVENUE DE FRONTON 31200 TOULOUSE","Sixtine Lavedan",physique,"Gérant",2,2022-04-15,
"BETTER JUICE","",493703599,"Mode/Vêtements","19 RUE DE L'ETOILE 31000 TOULOUSE","Miloud El baroudi",physique,"",1,2007-02-08,
"BFK","BFK",821479938,"Mode/Vêtements","7 RUE DU FINISTERE 31200 TOULOUSE","Amina Abassi",physique,"Président de SAS",2,2016-07-05,
"BIAS","BIAS",980131718,"Mode/Vêtements","62 RUE DE METZ 31000 TOULOUSE","Laura Noailles",physique,"Gérant",2,2023-10-03,
"BLACKSTORE","EURL YELLOW",529895831,"Mode/Vêtements","CENTRE COMMERCIAL GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Lionel Tapie",physique,"Gérant",2,2011-01-01,
"BLANDIN & DELLOYE","BD-TOULOUSE",931327100,"Mode/Vêtements","70 AVENUE CAMILLE PUJOL 31500 TOULOUSE","Thierry Barroca",physique,"Président de SAS",1,2024-07-17,
"BODY ONE","SYLVAL",451454680,"Mode/Vêtements","41 RUE DES CHANGES 31000 TOULOUSE","Joy Amsellem",physique,"Gérant",3,2004-01-06,
"BODY ONE LINGERIE","BODY ONE LINGERIE",420050916,"Mode/Vêtements","41 RUE DES CHANGES 31000 TOULOUSE","Ariel Amsellem",physique,"Directeur Général",1,1998-09-01,
"BONNIE & CLYDE FACTORY","BC2D",824822019,"Mode/Vêtements","1 RUE DU COQ D'INDE 31000 TOULOUSE","Xavier Dubois",physique,"Directeur Général",1,2017-02-01,
"BOSCHERIE PERE ET FILLE","BOSCHERIE PERE ET FILLE",989923834,"Mode/Vêtements","49 RUE DES FILATIERS 31000 TOULOUSE","Julien Boscherie",physique,"Président de SAS",1,2025-08-01,
"BOUCLARD","BOUCLARD",930668454,"Mode/Vêtements","BOUTIQUE RDC 10 RUE PEYRAS 31000 TOULOUSE","Bastien Gonzalez",physique,"Directeur Général",1,2024-06-12,
"BOUTIQUE ORLY","BOUTIQUE ORLY",383867330,"Mode/Vêtements","9 PLACE DU PRESIDENT THOMAS WOODROW WILSON 31000 TOULOUSE","Daniel Ben yahia",physique,"Membre du conseil de surveillance",2,1991-12-01,
"BOY-CODE","",489317537,"Mode/Vêtements","28 RUE D'AUBUISSON 31000 TOULOUSE","Ricardo Herrera chevrier",physique,"",1,2006-03-27,
"BROCK'NROLL","BROCK'NROLL",494671316,"Mode/Vêtements","16 RUE CUJAS 31000 TOULOUSE","Laurence Howiller (blanc)",physique,"Gérant",1,2007-03-01,
"BURBERRYS","BURBERRY FRANCE SASU",572233864,"Mode/Vêtements","75 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Lisa Kennedy",physique,"Administrateur",4,1900-01-01,
"BY LILOU","",913874947,"Mode/Vêtements","6 RUE CUJAS 31000 TOULOUSE","Lilou Cauture",physique,"",1,2022-05-01,
"BY NESSA","",827820002,"Mode/Vêtements","APT B209 10 RUE PAUL VERLAINE 31200 TOULOUSE","Vanessa Davila",physique,"",1,2017-02-01,
"BY'CHLO","",877973651,"Mode/Vêtements","APT 43 83 AVENUE DE LA GLOIRE 31500 TOULOUSE","Chloe Juan",physique,"",1,2019-10-10,
"C'PIERRE STYLE","C'PIERRE STYLE",445242027,"Mode/Vêtements","20 RUE LAFAYETTE 31000 TOULOUSE","Pierre Sportouch",physique,"Gérant",1,2003-03-10,
"CACHE-CACHE","SARL ICARAI",824213193,"Mode/Vêtements","33 RUE PAUL GAUGUIN 31100 TOULOUSE","Patrick Manceau",physique,"Gérant",1,2016-12-08,
"CAFE COTON","SACHAMAD",418485074,"Mode/Vêtements","8 RUE SAINT JEROME 31000 TOULOUSE","Victoire Fitzgerald (jeuffrain)",physique,"Gérant",3,1998-03-10,
"CAHORS SPORT DISTRIBUTION","CAHORS SPORT DISTRIBUTION",420973075,"Mode/Vêtements","11 PL ESQUIROL 31000 TOULOUSE","Benoît Barron",physique,"Gérant",2,1998-11-25,
"CALZEDONIA","CGS",804632990,"Mode/Vêtements","10 RUE SAINT ROME 31000 TOULOUSE","Graziella Perez",physique,"Gérant",1,2014-09-11,
"CAPITOLE COMPTOIRS","CAPITOLE COMPTOIRS",487492456,"Mode/Vêtements","57 AVENUE DE COURREGE 31400 TOULOUSE","Christine Bocquet (finet)",physique,"Gérant",1,2006-01-01,
"CAPRICES DE SOPHIA","SOPHIA B",429565831,"Mode/Vêtements","ET 114 112 AVENUE DE MURET 31300 TOULOUSE","Brigitte Marin",physique,"Président de SAS",1,2000-02-10,
"CAPRICES DE SOPHIA","CAPRICES DE SOPHIA",483359568,"Mode/Vêtements","112 114 112 AVENUE DE MURET 31300 TOULOUSE","",,"",1,2005-07-19,
"CARNET DE VOL","DESIGN PASSION",481875615,"Mode/Vêtements","CTRE CIAL SAINT GEORGES 51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","",,"",2,2005-04-12,
"CASA STRADA","MAISON STRADA",991911280,"Mode/Vêtements","51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Samir Chnadha",physique,"Président de SAS",1,2025-09-24,
"CASTING","COQUINE FASHION",451024459,"Mode/Vêtements","19 RUE SAINT ROME 31000 TOULOUSE","",,"",2,2004-01-01,
"CAZANOVA CUIR","CAZANOVA CUIR",501911614,"Mode/Vêtements","13 RUE PEYRAS 31000 TOULOUSE","Henriette Enyegue onambele",physique,"Liquidateur",1,2007-11-01,
"CELAU TRADING","CELAU TRADING",423368612,"Mode/Vêtements","62 RUE BERNADETTE 31100 TOULOUSE","Celine Dziubakewicz (lafaye)",physique,"Gérant",1,1999-07-01,
"CELINE DESAPHY","",534696455,"Mode/Vêtements","APT 10 188 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Celine Desaphy",physique,"",1,2011-09-16,
"CEREBRUM","CEREBRUM",920979457,"Mode/Vêtements","APPT. D206 4 RUE FERDINAND LAULANIE 31100 TOULOUSE","Fonke Soke",physique,"Président de SAS",1,2022-11-16,
"CESARE NORI","CESARE NORI",328090410,"Mode/Vêtements","23 PLACE VICTOR HUGO 31000 TOULOUSE","Tatiana Nori (antonova)",physique,"Gérant",1,1983-07-01,
"CHATEIGNE","CHOURS",879968402,"Mode/Vêtements","7 RUE DES LOIS 31000 TOULOUSE","Sarah Gueguen (fillioud)",physique,"Président de SAS",1,2019-12-24,
"CHEMISERIE DE SAINT LYS","CHEMISERIE D ARMAGNAC",775580632,"Mode/Vêtements","6 RUE DU DOCTEUR GENDRE 31000 TOULOUSE","Marlene Lukomski (bensadoun)",physique,"Gérant",1,1966-01-01,
"CHEZ NO E","",505341735,"Mode/Vêtements","21 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Astrid Lusungu-makambu",physique,"",1,2008-08-10,
"CHEZ ZOLL","CHEZ ZOLL",919790949,"Mode/Vêtements","2 RUE DALAYRAC 31000 TOULOUSE","Mohammad Ibrahim mahmoud",physique,"Président de SAS",1,2022-08-18,
"CHOUCHOUTE","CHOUCHOUTE",884237884,"Mode/Vêtements","57 RUE DE LA CONCORDE 31000 TOULOUSE","Audrey Cortembos",physique,"Directeur Général",1,2020-06-15,
"CHOURAKI LE PAPE","",430219493,"Mode/Vêtements","59 CHEMIN DE LAPUJADE 31200 TOULOUSE","Taoufik Chouraqi-le pape",physique,"",1,2000-04-03,
"CHRISTEL DUTIN-GLORIA (GLORIA)","",438929747,"Mode/Vêtements","32 RUE DES MARCHANDS 31000 TOULOUSE","Christel Dutin-gloria (gloria)",physique,"",1,2001-09-09,
"CHRISTINA MODA","CHRISTINA MODA",751488396,"Mode/Vêtements","38 RUE SAINT ROME 31000 TOULOUSE","",,"",1,2012-04-01,
"CLASSIC BOXE","CLASSIC BOXE",512628702,"Mode/Vêtements","4 RUE D'ARLES 31500 TOULOUSE","",,"",1,2009-05-15,
"CLEMENTINE ET MATHIEU","CLEMENTINE ET MATHIEU",914591672,"Mode/Vêtements","25 RUE ANTOINE RICORD 31100 TOULOUSE","Mathieu Aoustin",physique,"Président de SAS",2,2022-05-31,
"COEUR EPIQUE","SALIOU",802195826,"Mode/Vêtements","2 RUE DE LA COLOMBETTE 31000 TOULOUSE","",,"",1,2014-05-02,
"COEXIST STORE","COEXIST STORE",825285893,"Mode/Vêtements","2-4 2 RUE TEMPONIERES 31000 TOULOUSE","Thibault Gobbi",physique,"Gérant",1,2017-02-01,
"COLETTE SAINT MLEUX (PAULY)","",347463473,"Mode/Vêtements","14 RUE DE LA POMME 31000 TOULOUSE","Colette Saint mleux (pauly)",physique,"",1,1988-01-01,
"COMPAGNIE DES CARAIBES","COMPAGNIE DES CARAIBES",439735440,"Mode/Vêtements","131 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Serge Sznyter",physique,"Gérant",1,2001-10-01,
"COMPAGNIE MERIDIONALE DE PARFUMERIE (COMEPAR)","COMPAGNIE MERIDIONALE DE PARFUMERIE",318908100,"Mode/Vêtements","20 RUE DE LA POMME 31000 TOULOUSE","Stephane Gaffino",physique,"Gérant",1,1980-05-25,
"COMPANERO","COMPANERO",752517755,"Mode/Vêtements","CENTRE COMMERCIAL ESPACE GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Jean-francois Hebrard",physique,"Gérant",1,2012-08-01,
"CONCEPT STORE THE NORTH FACE","EURL MALE",523075950,"Mode/Vêtements","52 RUE DES TOURNEURS 31000 TOULOUSE","Emmanuel Levy",physique,"Gérant",2,2010-06-08,
"COSTES BY ARLENE","ARES",428153415,"Mode/Vêtements","3 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Arlette Costes (bories)",physique,"Président de SAS",1,2000-01-02,
"COTE MODE TOULOUSE","LTC",983699950,"Mode/Vêtements","2 RUE DES TROIS CANELLES 31300 TOULOUSE","Celine La torre (mellerin)",physique,"Président de SAS",1,2024-01-18,
"CR CLASSY.SHOP","",812095669,"Mode/Vêtements","APT 71 18 PLACE DES PRADETTES 31100 TOULOUSE","Andy Capre",physique,"",1,2015-07-06,
"CREA CONCEPT","CREA CONCEPT EUROPE",451827141,"Mode/Vêtements","5 RUE DES ARTS 31000 TOULOUSE","Victor Bitton",physique,"Président de SAS",2,2004-01-26,
"DALC","DALC",452698376,"Mode/Vêtements","216 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","",,"",1,2004-04-01,
"DAN@E31","",537666638,"Mode/Vêtements","APPT 106 3 IMPASSE LE BONDIDIER 31500 TOULOUSE","Daniela Dumitru",physique,"",1,2011-11-02,
"DANY SOPHITA","DANY SOPHITA",478369887,"Mode/Vêtements","16 RUE SAINTE URSULE 31000 TOULOUSE","",,"",1,2004-09-01,
"DANYBERD","GDT",480974716,"Mode/Vêtements","HOTEL DE BONNEFOY 19 RUE CROIX BARAGNON 31000 TOULOUSE","Jean-luc Gales",physique,"Gérant",1,2005-02-15,
"DBK OPERA","DBK OPERA",823304969,"Mode/Vêtements","8 RUE J F KENNEDY 31000 TOULOUSE","Anis Ben younes",physique,"Gérant",1,2016-10-24,
"DEESSE","AGAEKIAN",535404834,"Mode/Vêtements","8 RUE BAOUR LORMIAN 31000 TOULOUSE","",,"",1,2011-10-17,
"DEFERLER","DEFERLER",793955121,"Mode/Vêtements","38 RUE SAINT ROME 31000 TOULOUSE","",,"",2,2013-06-13,
"DELIRIUMSTREET","DELIRIUMSTREET",538937194,"Mode/Vêtements","150 GRANDE-RUE SAINT MICHEL 31400 TOULOUSE","",,"",1,2012-01-15,
"DEMEIX","DEMEIX",793606112,"Mode/Vêtements","3 RUE CANTEGRIL 31000 TOULOUSE","",,"",1,2013-06-01,
"DEPARTEMENT FEMININ","INSPIRATION",442072724,"Mode/Vêtements","1 RUE MAURICE FONVIEILLE 31000 TOULOUSE","Carole Benazet",physique,"Gérant",1,2002-05-15,
"DESERT BLEU","DESERT BLEU",432757557,"Mode/Vêtements","7 RUE DE LA POMME 31000 TOULOUSE","",,"",2,2000-09-01,
"DIAMANT D'ORIENT","DIAMANT D'ORIENT",808623763,"Mode/Vêtements","218 ROUTE DE SAINT SIMON 31100 TOULOUSE","Tarik Boussatta",physique,"Gérant",1,2014-12-23,
"DIANA SALEL","",824421143,"Mode/Vêtements","14 CHEMIN DE TUCAUT 31100 TOULOUSE","Diana Schmitt (salel)",physique,"",1,2016-12-19,
"DIKA","E.MIROGLIO FRANCE",848415857,"Mode/Vêtements","38 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Marta Miroglio (miroglio)",physique,"Président de SAS",1,2019-02-05,
"DIVA","",710700782,"Mode/Vêtements","12 RUE DU PRIEURE 31000 TOULOUSE","Francoise Navarre (gergondey)",physique,"",2,1970-01-01,
"DJOAR TAIDER","",750651770,"Mode/Vêtements","APPT 25 310 AVENUE DE MURET 31300 TOULOUSE","Djoar Taider",physique,"",1,2012-04-23,
"DOLLS & DOGS","SARL BONAFOS-LARROQUE",798804845,"Mode/Vêtements","283 AVENUE JEAN RIEUX 31400 TOULOUSE","Frederic Bonafos",physique,"Gérant",1,2013-09-01,
